monster_code,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,ZukanIndex,ZukanIndexSuffix,Size,Rarity,ElementType1,ElementType2,GenusCategory,Organization,weapon,WeaponEquip,HP,MeleeAttack,ShotAttack,Defense,Support,CraftSpeed,EnemyReceiveDamageRate,CaptureRateCorrect,ExpRatio,Price,AIResponse,AISightResponse,SlowWalkSpeed,WalkSpeed,RunSpeed,RideSprintSpeed,TransportSpeed,IsBoss,IsTowerBoss,BattleBGM,IgnoreLeanBack,IgnoreBlowAway,MaxFullStomach,FullStomachDecreaseRate,FoodAmount,ViewingDistance,ViewingAngle,HearingRate,NooseTrap,Nocturnal,BiologicalGrade,Predator,Edible,Stamina,MaleProbability,CombiRank,WorkSuitability_EmitFlame,WorkSuitability_Watering,WorkSuitability_Seeding,WorkSuitability_GenerateElectricity,WorkSuitability_Handcraft,WorkSuitability_Collection,WorkSuitability_Deforest,WorkSuitability_Mining,WorkSuitability_OilExtraction,WorkSuitability_ProductMedicine,WorkSuitability_Cool,WorkSuitability_Transport,WorkSuitability_MonsterFarm,PassiveSkill1,PassiveSkill2,PassiveSkill3,PassiveSkill4
BOSS_BadCatgirl,PAL_NAME_BadCatgirl,BOSS_NAME_BadCatgirl,PARTNERSKILL_BadCatgirl,True,EPalTribeID::BadCatgirl,BOSS_BadCatgirl,-1,,EPalSizeType::XL,0,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,0.2,0.7,10.0,4690.0,Boss,None,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,True,9,False,True,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,None,None,None,None
BOSS_Baphomet,PAL_NAME_Baphomet,BOSS_NAME_Baphomet,PARTNERSKILL_Baphomet,True,EPalTribeID::Baphomet,BOSS_Baphomet,-1,,EPalSizeType::XL,4,EPalElementType::Fire,EPalElementType::Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,150,100,85,100,100,0.2,0.7,10.0,4780.0,Boss,None,80,160,700,960,320,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1.0,4,25,90,1.0,False,True,9,True,True,100,50,590,1,0,0,0,2,0,0,1,0,0,0,2,0,None,None,None,None
BOSS_Baphomet_Dark,PAL_NAME_Baphomet_Dark,BOSS_NAME_Baphomet_Dark,PARTNERSKILL_Baphomet_Dark,True,EPalTribeID::Baphomet_Dark,BOSS_Baphomet_Dark,-1,,EPalSizeType::XL,5,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,150,105,85,100,100,0.2,0.7,10.0,4870.0,Boss,None,80,160,700,960,320,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1.0,4,25,90,1.0,False,True,9,True,True,100,50,580,0,0,0,0,2,0,0,1,0,0,0,2,0,None,None,None,None
BOSS_Bastet,PAL_NAME_Bastet,BOSS_NAME_Bastet,PARTNERSKILL_Bastet,True,EPalTribeID::Bastet,BOSS_Bastet,-1,,EPalSizeType::S,1,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,70,70,60,70,100,100,0.4,0.7,10.0,1000.0,NotInterested,None,52,105,475,550,317,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1.0,1,25,90,1.0,False,True,9,False,True,100,50,1480,0,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None
BOSS_Bastet_Ice,PAL_NAME_Bastet_Ice,BOSS_NAME_Bastet_Ice,PARTNERSKILL_Bastet_Ice,True,EPalTribeID::Bastet_Ice,BOSS_Bastet_Ice,-1,,EPalSizeType::S,2,EPalElementType::Ice,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,70,70,65,70,100,100,0.2,0.7,10.0,1010.0,NotInterested,None,52,105,475,550,317,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1.0,1,25,90,1.0,False,False,9,False,True,100,50,1440,0,0,0,0,0,0,0,0,0,0,1,0,1,None,None,None,None
BOSS_BeardedDragon,PAL_NAME_BeardedDragon,BOSS_NAME_BeardedDragon,PARTNERSKILL_BeardedDragon,True,EPalTribeID::BeardedDragon,BeardedDragon,-1,,EPalSizeType::XL,0,EPalElementType::Dragon,EPalElementType::None,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,0.2,0.7,10.0,9970.0,Boss,None,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,600,1.0,9,25,90,1.0,False,False,9,True,True,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
BOSS_BerryGoat,PAL_NAME_BerryGoat,BOSS_NAME_BerryGoat,PARTNERSKILL_BerryGoat,True,EPalTribeID::BerryGoat,BOSS_BerryGoat,-1,,EPalSizeType::M,3,EPalElementType::Leaf,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,100,70,70,90,120,100,0.4,0.7,10.0,2510.0,NotInterested,None,70,70,400,550,235,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1.0,4,25,90,1.0,False,False,9,False,True,100,50,930,0,0,2,0,0,0,0,0,0,0,0,0,1,None,None,None,None
BOSS_BirdDragon,PAL_NAME_BirdDragon,BOSS_NAME_BirdDragon,PARTNERSKILL_BirdDragon,True,EPalTribeID::BirdDragon,BOSS_BirdDragon,-1,,EPalSizeType::XL,4,EPalElementType::Fire,EPalElementType::Dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,115,90,100,100,0.2,0.7,10.0,4360.0,Boss,None,100,350,700,950,475,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1.0,6,25,90,1.0,False,True,9,True,True,150,50,660,1,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
BOSS_BirdDragon_Ice,PAL_NAME_BirdDragon_Ice,BOSS_NAME_BirdDragon_Ice,PARTNERSKILL_BirdDragon_Ice,True,EPalTribeID::BirdDragon_Ice,BOSS_BirdDragon_Ice,-1,,EPalSizeType::XL,5,EPalElementType::Ice,EPalElementType::Dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,120,95,100,100,0.2,0.7,10.0,4610.0,Boss,None,100,350,700,950,475,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1.0,6,25,90,1.0,False,True,9,True,True,150,50,620,0,0,0,0,0,0,0,0,0,0,2,3,0,None,None,None,None
BOSS_BlackCentaur,PAL_NAME_BlackCentaur,BOSS_NAME_BlackCentaur,PARTNERSKILL_BlackCentaur,True,EPalTribeID::BlackCentaur,BOSS_BlackCentaur,-1,,EPalSizeType::XL,20,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,260,100,145,120,100,100,0.1,0.7,10.0,8930.0,Boss,None,100,350,900,1600,625,True,False,EPalBattleBGMType::Legend,False,False,600,1.0,9,25,90,1.0,False,True,9,False,True,100,50,70,0,0,0,0,0,0,2,2,0,0,0,0,0,Legend,ElementBoost_Dark_2_PAL,None,None
BOSS_BlackFurDragon,PAL_NAME_BlackFurDragon,BOSS_NAME_BlackFurDragon,PARTNERSKILL_BlackFurDragon,True,EPalTribeID::BlackFurDragon,BOSS_BlackFurDragon,-1,,EPalSizeType::XL,10,EPalElementType::Dark,EPalElementType::Dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,130,100,130,110,100,100,0.2,0.7,10.0,8440.0,Boss,None,55,110,560,800,335,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1.0,8,25,90,1.0,False,True,9,True,True,100,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
BOSS_BlackGriffon,PAL_NAME_BlackGriffon,BOSS_NAME_BlackGriffon,PARTNERSKILL_BlackGriffon,True,EPalTribeID::BlackGriffon,BOSS_BlackGriffon,-1,,EPalSizeType::XL,10,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,120,130,120,140,90,100,0.2,0.7,10.0,9060.0,Boss,None,80,80,850,1300,465,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1.0,8,25,90,1.0,False,True,9,False,True,250,50,60,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
BOSS_BlackMetalDragon,PAL_NAME_BlackMetalDragon,BOSS_NAME_BlackMetalDragon,PARTNERSKILL_BlackMetalDragon,True,EPalTribeID::BlackMetalDragon,BOSS_BlackMetalDragon,-1,,EPalSizeType::XL,9,EPalElementType::Dragon,EPalElementType::Dark,EPalGenusCategoryType::Monster,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,125,125,100,100,0.2,0.7,10.0,8200.0,Boss,None,100,150,600,900,375,True,False,EPalBattleBGMType::FieldBoss,False,False,600,1.0,9,25,90,1.0,False,True,9,False,True,300,50,150,0,0,0,0,1,0,0,4,3,0,0,0,0,Deffence_up1,None,None,None
BOSS_BlueberryFairy,PAL_NAME_BlueberryFairy,BOSS_NAME_BlueberryFairy,PARTNERSKILL_BlueberryFairy,True,EPalTribeID::BlueberryFairy,BOSS_BlueberryFairy,-1,,EPalSizeType::XL,0,EPalElementType::Leaf,EPalElementType::Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,0.2,0.7,10.0,8200.0,Boss,None,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,False,9,False,True,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,None,None,None,None
BOSS_BlueDragon,PAL_NAME_BlueDragon,BOSS_NAME_BlueDragon,PARTNERSKILL_BlueDragon,True,EPalTribeID::BlueDragon,BOSS_BlueDragon,-1,,EPalSizeType::XL,7,EPalElementType::Water,EPalElementType::Dragon,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,False,110,70,100,100,100,100,0.2,0.7,10.0,5600.0,Boss,None,75,150,600,900,350,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1.0,6,25,90,1.0,False,False,9,False,True,100,50,500,0,3,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
BOSS_BluePlatypus,PAL_NAME_BluePlatypus,BOSS_NAME_Blueplatypus,PARTNERSKILL_BluePlatypus,True,EPalTribeID::Blueplatypus,BOSS_Blueplatypus,-1,,EPalSizeType::M,1,EPalElementType::Water,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,60,80,80,60,100,100,0.4,0.77,10.0,1120.0,NotInterested,None,70,105,300,400,202,True,False,EPalBattleBGMType::FieldBoss,False,False,150,1.0,2,25,90,1.0,False,False,9,False,True,100,50,1330,0,1,0,0,1,0,0,0,0,0,0,1,0,None,None,None,None
BOSS_Boar,PAL_NAME_Boar,BOSS_NAME_Boar,PARTNERSKILL_Boar,True,EPalTribeID::Boar,BOSS_Boar,-1,,EPalSizeType::XL,1,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,80,100,70,70,100,100,0.4,0.7,10.0,1610.0,Boss,None,70,150,450,800,300,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,False,9,True,True,100,50,1130,0,0,0,0,0,0,0,1,0,0,0,0,0,None,None,None,None
BOSS_BrownRabbit,PAL_NAME_BrownRabbit,BOSS_NAME_BrownRabbit,PARTNERSKILL_BrownRabbit,True,EPalTribeID::BrownRabbit,BOSS_BrownRabbit,-1,,EPalSizeType::XL,0,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,0.2,0.7,10.0,2350.0,Boss,None,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,False,9,False,True,100,50,0,0,0,0,0,2,2,0,1,1,0,0,1,0,None,None,None,None
BOSS_CaptainPenguin,PAL_NAME_CaptainPenguin,BOSS_NAME_CaptainPenguin,PARTNERSKILL_CaptainPenguin,True,EPalTribeID::CaptainPenguin,BOSS_CaptainPenguin,-1,,EPalSizeType::XL,6,EPalElementType::Water,EPalElementType::Ice,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,70,95,95,100,100,0.4,0.7,10.0,5410.0,Boss,None,50,110,450,600,280,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1.0,8,25,90,1.0,False,False,9,False,True,100,50,520,0,2,0,0,2,0,0,2,0,0,2,2,0,None,None,None,None
BOSS_Carbunclo,PAL_NAME_Carbunclo,BOSS_NAME_Carbunclo,PARTNERSKILL_Carbunclo,True,EPalTribeID::Carbunclo,BOSS_Carbunclo,-1,,EPalSizeType::S,1,EPalElementType::Leaf,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,75,70,70,70,100,100,0.4,0.63,10.0,1010.0,NotInterested,None,20,40,400,550,250,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1.0,1,25,90,1.0,False,False,9,False,True,100,50,1430,0,0,1,0,1,1,1,0,0,1,0,0,0,None,None,None,None
BOSS_CatBat,PAL_NAME_CatBat,BOSS_NAME_CatBat,PARTNERSKILL_CatBat,True,EPalTribeID::CatBat,BOSS_CatBat,-1,,EPalSizeType::XL,5,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,100,95,80,100,100,0.4,0.7,10.0,3810.0,Boss,None,80,140,400,550,270,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1.0,5,25,90,1.0,False,True,9,False,True,100,50,750,0,0,0,0,0,2,0,2,0,0,0,2,0,None,None,None,None
BOSS_CatMage,PAL_NAME_CatMage,BOSS_NAME_CatMage,PARTNERSKILL_CatMage,True,EPalTribeID::CatMage,BOSS_CatMage,-1,,EPalSizeType::XL,6,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,105,90,100,100,0.2,0.7,10.0,4120.0,Boss,None,70,145,440,620,292,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1.0,5,25,90,1.0,False,True,9,False,True,100,50,700,0,0,0,0,2,0,0,0,0,2,0,2,0,None,None,None,None
BOSS_CatVampire,PAL_NAME_CatVampire,BOSS_NAME_CatVampire,PARTNERSKILL_CatVampire,True,EPalTribeID::CatVampire,BOSS_CatVampire,-1,,EPalSizeType::XL,6,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,105,110,110,100,0.2,0.7,10.0,2100.0,Boss,None,60,100,550,700,325,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1.0,5,25,90,1.0,False,True,9,False,True,100,50,1010,0,0,0,0,0,0,0,0,0,3,0,0,0,None,None,None,None
BOSS_ChickenPal,PAL_NAME_ChickenPal,BOSS_NAME_ChickenPal,PARTNERSKILL_ChickenPal,True,EPalTribeID::ChickenPal,BOSS_ChickenPal,-1,,EPalSizeType::M,1,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,60,70,60,60,100,100,0.4,1.05,10.0,1000.0,NotInterested,None,50,50,375,550,212,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1.0,1,25,90,1.0,False,False,9,False,True,100,50,1500,0,0,0,0,0,1,0,0,0,0,0,0,1,None,None,None,None
BOSS_ColorfulBird,PAL_NAME_ColorfulBird,BOSS_NAME_ColorfulBird,PARTNERSKILL_ColorfulBird,True,EPalTribeID::ColorfulBird,BOSS_ColorfulBird,-1,,EPalSizeType::XL,1,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,60,80,75,70,100,100,0.4,0.7,10.0,1090.0,Boss,None,30,60,300,550,170,True,False,EPalBattleBGMType::FieldBoss,False,False,150,1.0,2,25,90,1.0,False,False,9,True,True,100,50,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
BOSS_CowPal,PAL_NAME_CowPal,BOSS_NAME_CowPal,PARTNERSKILL_CowPal,True,EPalTribeID::CowPal,BOSS_CowPal,-1,,EPalSizeType::M,2,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,50,80,100,100,0.2,0.7,10.0,2620.0,NotInterested,None,55,55,580,700,317,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,False,9,False,True,100,20,910,0,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None
BOSS_CuteButterfly,PAL_NAME_CuteButterfly,BOSS_NAME_CuteButterfly,PARTNERSKILL_CuteButterfly,True,EPalTribeID::CuteButterfly,BOSS_CuteButterfly,-1,,EPalSizeType::XL,4,EPalElementType::Leaf,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,70,100,80,80,100,100,0.2,0.7,10.0,5700.0,NotInterested,None,30,150,550,700,350,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,False,9,False,True,100,50,490,0,0,2,0,0,0,0,0,0,1,0,0,0,None,None,None,None
BOSS_CuteFox,PAL_NAME_CuteFox,BOSS_NAME_CuteFox,PARTNERSKILL_CuteFox,True,EPalTribeID::CuteFox,BOSS_CuteFox,-1,,EPalSizeType::M,2,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,70,70,70,70,140,100,0.4,0.91,10.0,1000.0,NotInterested,None,30,60,350,450,190,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1.0,1,25,90,1.0,False,False,9,False,True,100,50,1450,0,0,0,0,0,1,0,0,0,0,0,0,1,None,None,None,None
BOSS_CuteMole,PAL_NAME_CuteMole,BOSS_NAME_CuteMole,PARTNERSKILL_CuteMole,True,EPalTribeID::CuteMole,BOSS_CuteMole,-1,,EPalSizeType::M,1,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,65,100,80,50,100,100,0.4,0.7,10.0,1360.0,NotInterested,None,30,60,300,550,240,True,False,EPalBattleBGMType::FieldBoss,False,False,150,1.0,2,25,90,1.0,False,False,9,False,True,100,50,1220,0,0,0,0,1,0,0,1,0,0,0,1,0,None,None,None,None
BOSS_DarkCrow,PAL_NAME_DarkCrow,BOSS_NAME_DarkCrow,PARTNERSKILL_DarkCrow,True,EPalTribeID::DarkCrow,BOSS_DarkCrow,-1,,EPalSizeType::XL,3,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,75,80,95,80,100,100,0.2,0.7,10.0,1840.0,Boss,None,85,170,920,1200,545,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1.0,5,25,90,1.0,False,True,9,True,True,100,50,1080,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
BOSS_DarkMutant,PAL_NAME_DarkMutant,BOSS_NAME_DarkMutant,PARTNERSKILL_DarkMutant,True,EPalTribeID::DarkMutant,BOSS_DarkMutant,-1,,EPalSizeType::XL,5,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,0.2,0.7,10.0,3960.0,Boss,None,100,150,550,700,350,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1.0,8,25,90,1.0,False,True,9,False,True,100,50,0,0,0,0,0,3,0,0,0,0,3,0,2,0,None,None,None,None
