Item,OverrideName,OverrideDescription,IconName,TypeA,TypeB,Rank,Rarity,MaxStackCount,Weight,Price,SortID,bInTreasureBox,bNotConsumed,bEnableHandcraft,TechnologyTreeLock,ItemStaticClass,ItemDynamicClass,ItemActorClass,ItemStaticMeshName,VisualBlueprintClassName,VisualBlueprintClassSoft,DropItemType,Editor_RowNameHash,RestoreSatiety,RestoreConcentration,RestoreSanity,RestoreHealth,GrantEffect1Id,GrantEffect1Time,GrantEffect2Id,GrantEffect2Time,GrantEffect3Id,GrantEffect3Time,Durability,ElementType,bSleepWeapon,MagazineSize,SneakAttackRate,PhysicalAttackValue,HPValue,PhysicalDefenseValue,ShieldValue,MagicAttackValue,MagicDefenseValue,PassiveSkillName,WazaID,CorruptionFactor,FloatValue1
Axe_Tier_01,None,None,Axe_Default,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,2,0,1,15.0,2800,111,False,True,False,0,CommonWeapon,CommonWeapon,Axe_Tier_01,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-15377140,0,0,0,0,0,0.0,0,0.0,0,0.0,250,EPalElementType::None,False,0,1.0,30,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Axe_Tier_02,None,None,Axe_Default,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,3,0,1,20.0,7000,112,False,True,False,0,CommonWeapon,CommonWeapon,Axe_Tier_02,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-531806192,0,0,0,0,0,0.0,0,0.0,0,0.0,300,EPalElementType::None,False,0,1.0,60,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Axe_Tier_03,None,None,Axe_Default,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,3,0,1,25.0,33000,113,False,True,False,0,CommonWeapon,CommonWeapon,Axe_Tier_03,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1161740336,0,0,0,0,0,0.0,0,0.0,0,0.0,400,EPalElementType::None,False,0,1.0,75,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Bat,None,None,Bat,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,1,0,1,5.0,80,101,False,True,False,0,CommonWeapon,CommonWeapon,Bat,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1944521231,0,0,0,0,0,0.0,0,0.0,0,0.0,150,EPalElementType::None,False,0,1.0,25,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Bat2,None,None,Bat2,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,1,0,1,3.0,80,101,False,True,False,0,CommonWeapon,CommonWeapon,Bat2,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-396622604,0,0,0,0,0,0.0,0,0.0,0,0.0,150,EPalElementType::None,False,0,1.0,50,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
MeatCutterKnife,None,None,MeatCutterKnife,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,1,0,1,10.0,100,150,False,True,False,0,CommonWeapon,CommonWeapon,MeatCutterKnife,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1220309254,0,0,0,0,0,0.0,0,0.0,0,0.0,300,EPalElementType::None,False,0,1.0,25,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
ElecBaton,None,None,ElecBaton,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,2,0,1,10.0,19000,160,False,True,False,0,CommonWeapon,CommonWeapon,ElecBaton,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-169360882,0,0,0,0,0,0.0,0,0.0,0,0.0,300,EPalElementType::None,False,0,1.0,10,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Bat_NPC,ITEM_NAME_NPC_WEAPON,None,Bat,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,1,0,1,99999.0,10,9999,False,True,False,0,CommonWeapon,CommonWeapon,Bat_NPC,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1028517629,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,100,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Berries,None,None,Berries,EPalItemTypeA::Food,EPalItemTypeB::FoodVegetable,1,0,9999,0.2,50,4000,False,False,False,0,CommonConsume,None,None,None,BP_Item_BerryRed,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_BerryRed.BP_Item_BerryRed_C', 'SubPathString': ''}",EPalDropItemType::None,-574366416,15,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.16666667,0.0
Berries2,None,None,Berries,EPalItemTypeA::Food,EPalItemTypeB::FoodVegetable,1,1,9999,0.5,50,9999,False,False,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-942865203,20,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.33333334,0.0
Baked_Berries,None,None,Baked_Berries,EPalItemTypeA::Food,EPalItemTypeB::FoodDishVegetable,1,0,9999,0.15,100,4021,False,False,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1292058687,21,0,1,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.11111111,0.0
BowGun,None,None,BowGun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponCrossbow,2,0,1,13.0,25200,230,False,True,False,0,CommonWeapon,CommonWeapon,BowGun,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,824169925,0,0,0,0,0,0.0,0,0.0,0,0.0,300,EPalElementType::None,False,1,1.0,280,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
CaptureRope,None,None,Rope,EPalItemTypeA::Weapon,EPalItemTypeB::SPWeaponCaptureRope,1,0,9999,5.0,20000,9999,False,True,False,0,CommonWeapon,None,CaptureRope,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-332986188,0,0,0,0,0,0.0,0,0.0,0,0.0,200,EPalElementType::None,False,4,1.0,1000,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Charcoal,None,None,Charcoal,EPalItemTypeA::Material,EPalItemTypeB::MaterialIngot,1,0,9999,2.0,20,5100,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,258984991,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Claws,None,None,Claws,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,0,9999,1.0,120,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-113023666,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Claws2,None,None,Claws2,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,1,9999,1.0,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-646067144,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
ClawsPendant,None,None,ClawsPendant,EPalItemTypeA::Accessory,EPalItemTypeB::Accessory,2,0,1,2.0,1500,9999,False,True,False,0,CommonArmor,CommonArmor,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,982370707,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,10,5,0,0,0,None,EPalWazaID::None,0.0,0.0
Cloth,None,None,Cloth,EPalItemTypeA::Material,EPalItemTypeB::MaterialProccessing,1,0,9999,1.0,80,5080,False,False,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1400163061,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Cloth2,None,None,Cloth,EPalItemTypeA::Material,EPalItemTypeB::MaterialProccessing,2,1,9999,1.0,400,5081,False,False,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1351565177,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
ClothArmor,None,None,LeatherClothing,EPalItemTypeA::Armor,EPalItemTypeB::ArmorBody,1,0,1,4.0,320,1010,False,False,False,0,CommonArmor,CommonArmor,ClothArmor,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1583745397,0,0,0,0,0,0.0,0,0.0,0,0.0,150,EPalElementType::None,False,0,1.0,0,70,15,0,0,0,TemperatureResist_Cold1,EPalWazaID::None,0.0,0.0
ClothHat,None,None,LeatherHat,EPalItemTypeA::Armor,EPalItemTypeB::ArmorHead,1,0,1,2.0,160,1100,False,False,False,0,CommonArmor,CommonArmor,ClothHat,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,575512446,0,0,0,0,0,0.0,0,0.0,0,0.0,150,EPalElementType::None,False,0,1.0,0,30,5,0,0,0,None,EPalWazaID::None,0.0,0.0
Coal,None,None,Coal,EPalItemTypeA::Material,EPalItemTypeB::MaterialOre,1,0,9999,5.0,30,5022,False,True,False,0,None,None,None,None,BP_Item_Ore_Coal,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Ore_Coal.BP_Item_Ore_Coal_C', 'SubPathString': ''}",EPalDropItemType::None,567360143,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
CopperArmor,None,None,CopperArmor,EPalItemTypeA::Armor,EPalItemTypeB::ArmorBody,2,0,1,30.0,4920,1030,False,False,False,0,CommonArmor,CommonArmor,CopperArmor,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-995193946,0,0,0,0,0,0.0,0,0.0,0,0.0,700,EPalElementType::None,False,0,1.0,0,250,70,0,0,0,TemperatureResist_Cold1,EPalWazaID::None,0.0,0.0
CopperHelmet,None,None,CopperHelmet,EPalItemTypeA::Armor,EPalItemTypeB::ArmorHead,2,0,1,10.0,2460,1120,False,False,False,0,CommonArmor,CommonArmor,CopperHelmet,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1059407118,0,0,0,0,0,0.0,0,0.0,0,0.0,700,EPalElementType::None,False,0,1.0,0,100,50,0,0,0,None,EPalWazaID::None,0.0,0.0
CopperIngot,None,None,CopperIngot,EPalItemTypeA::Material,EPalItemTypeB::MaterialIngot,1,0,9999,5.0,200,5101,False,True,False,0,None,None,None,None,BP_Item_IngotCopper,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_IngotCopper.BP_Item_IngotCopper_C', 'SubPathString': ''}",EPalDropItemType::None,-762426170,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
CopperOre,None,None,CopperOre,EPalItemTypeA::Material,EPalItemTypeB::MaterialOre,1,0,9999,8.0,50,5021,False,True,False,0,None,None,CopperOre,CopperOre,BP_Item_Ore_Steel,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Ore_Steel.BP_Item_Ore_Steel_C', 'SubPathString': ''}",EPalDropItemType::None,-209866730,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
DoubleBarrelShotgun,None,None,DoubleBarrelShotgun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponShotgun,3,0,1,24.0,55200,400,False,True,False,0,CommonWeapon,CommonWeapon,DoubleBarrelShotgun,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1706497459,0,0,0,0,0,0.0,0,0.0,0,0.0,200,EPalElementType::None,False,2,1.0,190,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
ElectronicCircuit,None,None,ElectronicCircuit,EPalItemTypeA::Material,EPalItemTypeB::MaterialProccessing,2,0,9999,0.5,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-43050182,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
EnergyDrink,None,None,Bandage,EPalItemTypeA::Consume,EPalItemTypeB::ConsumeBandage,1,0,9999,1.0,10,9999,False,False,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,741410015,0,100,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.055555556,0.0
ExplosiveBullet,None,None,ExplosiveBullet,EPalItemTypeA::Ammo,EPalItemTypeB::ConsumeBullet,4,0,9999,0.5,400,27,False,True,False,0,None,None,None,None,BP_Item_ExplosiveBullet,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_ExplosiveBullet.BP_Item_ExplosiveBullet_C', 'SubPathString': ''}",EPalDropItemType::None,-166897124,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Fang,None,None,Fang,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,0,9999,1.0,120,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,429312015,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Fang2,None,None,Fang2,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,1,9999,1.0,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,65416178,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
FangNecklace,None,None,FangNecklace,EPalItemTypeA::Accessory,EPalItemTypeB::Accessory,2,0,1,2.0,1500,9999,False,True,False,0,CommonArmor,CommonArmor,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-2042729118,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,5,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
FarmCrop_Tmp,None,None,FarmCrop,EPalItemTypeA::Consume,EPalItemTypeB::FoodVegetable,1,0,9999,0.1,10,9999,False,False,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,878460309,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.055555556,0.0
Fiber,None,None,Fiber,EPalItemTypeA::Material,EPalItemTypeB::MaterialWood,1,0,9999,0.5,10,5001,False,True,False,0,None,None,None,None,BP_Item_Fiber,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Fiber.BP_Item_Fiber_C', 'SubPathString': ''}",EPalDropItemType::None,-71200686,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
FishMeat,None,None,FishMeat,EPalItemTypeA::Food,EPalItemTypeB::FoodFish,1,0,9999,1.0,50,9999,False,True,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1833490068,40,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.33333334,0.0
FishMeat2,None,None,FishMeat,EPalItemTypeA::Food,EPalItemTypeB::FoodFish,1,1,9999,2.0,50,9999,False,True,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-549029112,75,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.8333333,0.0
Flint,None,None,Flint,EPalItemTypeA::Material,EPalItemTypeB::MaterialStone,1,0,9999,2.0,10,9999,False,True,False,0,None,None,None,None,BP_Item_Flint,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Flint.BP_Item_Flint_C', 'SubPathString': ''}",EPalDropItemType::None,1106701444,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
FurArmor,None,None,FurArmor,EPalItemTypeA::Armor,EPalItemTypeB::ArmorBody,2,0,1,10.0,360,1020,False,False,False,0,CommonArmor,CommonArmor,FurArmor,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-396635798,0,0,0,0,0,0.0,0,0.0,0,0.0,300,EPalElementType::None,False,0,1.0,0,140,35,0,0,0,TemperatureResist_Cold1,EPalWazaID::None,0.0,0.0
FurHelmet,None,None,FurHelmet,EPalItemTypeA::Armor,EPalItemTypeB::ArmorHead,1,0,1,5.0,180,1110,False,False,False,0,CommonArmor,CommonArmor,FurHelmet,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-236304455,0,0,0,0,0,0.0,0,0.0,0,0.0,200,EPalElementType::None,False,0,1.0,0,60,15,0,0,0,None,EPalWazaID::None,0.0,0.0
GrilledMeat,None,None,GrilledMeat,EPalItemTypeA::Food,EPalItemTypeB::FoodDishMeat,1,0,9999,1.0,100,4020,False,False,False,0,CommonConsume,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-693425913,45,0,3,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.16666667,0.0
Gunpowder,None,None,GunPowder,EPalItemTypeA::Material,EPalItemTypeB::MaterialProccessing,1,0,9999,0.2,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-2110573194,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Gunpowder2,None,None,GunPowder2,EPalItemTypeA::Material,EPalItemTypeB::MaterialProccessing,2,0,9999,0.2,220,5083,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-737703170,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
HandGun_Default,None,None,HandGun_Default,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponHandgun,2,0,1,8.0,33000,310,False,True,False,0,CommonWeapon,CommonWeapon,NormalPistol,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1652539234,0,0,0,0,0,0.0,0,0.0,0,0.0,400,EPalElementType::None,False,8,1.0,250,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
DecalGun_1,None,None,DecalGun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponHandgun,2,0,1,8.0,33000,320,False,True,False,0,CommonWeapon,CommonWeapon,DecalGun_1,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1164739876,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,99,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
DecalGun_2,None,None,DecalGun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponHandgun,2,0,1,8.0,33000,321,False,True,False,0,CommonWeapon,CommonWeapon,DecalGun_2,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1330232261,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,99,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
DecalGun_3,None,None,DecalGun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponHandgun,2,0,1,8.0,33000,322,False,True,False,0,CommonWeapon,CommonWeapon,DecalGun_3,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,1792818334,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,99,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
DecalGun_4,None,None,DecalGun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponHandgun,2,0,1,8.0,33000,323,False,True,False,0,CommonWeapon,CommonWeapon,DecalGun_4,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-903798138,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,99,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
DecalGun_5,None,None,DecalGun,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponHandgun,2,0,1,8.0,33000,324,False,True,False,0,CommonWeapon,CommonWeapon,DecalGun_5,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-2115427451,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,99,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
